Wall time,Step,Value
1696839108.6499119,0,-683.5540771484375
1696839293.424195,12288,-535.3993530273438
1696839356.106285,16384,-471.51739501953125
1696839651.9852142,40960,-511.5467529296875
1696839702.0726695,45056,-522.3233032226562
1696839852.5936096,57344,-547.7698974609375
1696839903.2688847,61440,-578.2681274414062
1696840055.019047,73728,-477.3516845703125
1696840105.249629,77824,-532.12109375
1696840155.36995,81920,-473.9475402832031
1696840255.5748162,90112,-444.51654052734375
1696840305.8204057,94208,-407.5289001464844
1696840456.2908297,106496,-288.749267578125
1696840506.2685125,110592,-280.7692565917969
1696840807.140848,135168,-226.0828094482422
1696840956.6431134,147456,-212.66001892089844
1696841006.41419,151552,-208.37026977539062
1696841056.1957872,155648,-210.83694458007812
1696841105.9486625,159744,-208.52557373046875
1696841155.7827504,163840,-207.2015838623047
1696841507.9383337,192512,-206.47950744628906
1696841558.4917214,196608,-205.9605255126953
1696841609.1006835,200704,-205.78456115722656
1696841708.6388066,208896,-205.83486938476562
1696841758.218785,212992,-206.06268310546875
1696841857.413713,221184,-205.82669067382812
1696842006.6432858,233472,-205.7543487548828
1696842155.6374214,245760,-205.75418090820312
1696842205.3666456,249856,-205.75418090820312
1696842255.1685102,253952,-205.75418090820312
1696842304.7879019,258048,-205.75418090820312
1696842404.2108908,266240,-205.75418090820312
1696842453.9902935,270336,-205.75418090820312
1696842504.0604637,274432,-205.75418090820312
1696842554.9376757,278528,-205.75418090820312
1696842656.5006313,286720,-205.75418090820312
1696842707.4954624,290816,-205.75418090820312
1696843010.9750476,315392,-205.75418090820312
1696843112.027412,323584,-205.75418090820312
1696843162.314352,327680,-205.75418090820312
1696843263.1781774,335872,-205.75418090820312
1696843313.6770425,339968,-205.93927001953125
1696843415.7782166,348160,-206.07080078125
1696843466.3687975,352256,-206.34353637695312
1696843623.7783172,364544,-207.3262481689453
1696843676.381978,368640,-212.94558715820312
1696843939.437309,389120,-208.88485717773438
1696844150.0996644,405504,-218.4710693359375
1696844202.751198,409600,-209.56080627441406
1696844360.8707116,421888,-226.92079162597656
1696844518.594876,434176,-254.5874481201172
1696844571.1461031,438272,-238.290771484375
1696844676.2684474,446464,-283.20281982421875
1696844938.8372118,466944,-313.55560302734375
1696845043.8218868,475136,-222.18988037109375
1696845306.508184,495616,-402.7874450683594
1696845516.6448298,512000,-484.57354736328125
1696845569.2216985,516096,-359.1732177734375
1696845674.436879,524288,-466.4044189453125
1696845779.506138,532480,-504.59136962890625
1696845832.2089117,536576,-571.8146362304688
1696845884.7339566,540672,-346.8348388671875
1696846094.9642165,557056,-467.5052490234375
1696846147.455066,561152,-404.82427978515625
1696846462.9896789,585728,-548.6272583007812
1696846515.439016,589824,-526.7117919921875
1696846620.5380485,598016,-607.65283203125
1696846673.205481,602112,-370.9159240722656
1696846831.0676408,614400,-676.8997192382812
1696847198.291044,643072,-821.5570068359375
1696847303.1314495,651264,-718.4719848632812
1696847355.5103981,655360,-690.3536376953125
1696847460.4474065,663552,-711.9137573242188
1696847565.356863,671744,-776.8385009765625
1696847670.151723,679936,-703.6019287109375
1696847879.0971737,696320,-809.66162109375
1696847931.3520796,700416,-640.5355224609375
1696847983.8631146,704512,-802.3203125
1696848140.9684196,716800,-752.6633911132812
1696848193.3692405,720896,-754.34521484375
1696848245.6673946,724992,-773.9821166992188
1696848298.0314567,729088,-835.0361938476562
1696848402.6431262,737280,-849.91162109375
1696848454.9216049,741376,-811.1728515625
1696848611.460752,753664,-809.2340698242188
1696848663.6037235,757760,-825.6843872070312
1696848715.974186,761856,-828.0431518554688
1696848873.082341,774144,-828.0997314453125
1696848925.5468466,778240,-806.8045654296875
1696848978.082528,782336,-857.0994873046875
1696849030.389507,786432,-764.3007202148438
1696849187.9408278,798720,-438.6891174316406
1696849397.5505874,815104,-693.4903564453125
1696849449.8851926,819200,-583.4307861328125
1696849554.6845477,827392,-624.5352172851562
1696849607.624598,831488,-557.4491577148438
1696849660.8004708,835584,-681.9855346679688
1696849714.0437908,839680,-674.7908935546875
1696849820.689154,847872,-767.9904174804688
1696849927.2114887,856064,-847.1624145507812
1696850033.8240128,864256,-829.8592529296875
1696850140.5292978,872448,-710.1195678710938
1696850246.8619063,880640,-794.4859619140625
1696850299.167423,884736,-647.884033203125
1696850403.8499703,892928,-712.2515869140625
1696850456.23685,897024,-640.8677368164062
1696850509.4452095,901120,-788.7669067382812
1696850562.5937746,905216,-843.9818725585938
1696850615.8753035,909312,-846.8372192382812
1696850722.6136324,917504,-760.4708862304688
1696850775.671134,921600,-844.6231689453125
1696850989.0402424,937984,-317.34466552734375
1696851306.8201241,962560,-360.2339782714844
1696851411.6638515,970752,-717.1171875
1696851464.1461678,974848,-734.6078491210938
1696851516.5693426,978944,-736.013671875
1696851621.3994167,987136,-772.7757568359375
1696851674.4865026,991232,-701.0319213867188
1696851780.9918742,999424,-764.3233642578125
1696851834.1073549,1003520,-662.5399169921875
1696851892.4089963,1007616,-786.1967163085938
1696851953.2305229,1011712,-789.8206787109375
1696852231.2832663,1032192,-807.8086547851562
1696852285.9423642,1036288,-811.0875854492188
1696852346.8522913,1040384,-838.9639282226562
1696852515.2734466,1052672,-843.22216796875
1696852567.738852,1056768,-810.5931396484375
1696852620.2127097,1060864,-854.7459106445312
1696852672.535263,1064960,-822.3591918945312
1696852777.2994668,1073152,-833.5633544921875
1696853196.7876601,1105920,-614.6197509765625
1696853249.3726215,1110016,-609.8262939453125
1696853406.4030933,1122304,-750.6504516601562
1696853458.7554166,1126400,-728.6105346679688
1696853511.212897,1130496,-750.8161010742188
1696853615.8249156,1138688,-758.7478637695312
1696853720.8434536,1146880,-770.631103515625
