Wall time,Step,Value
1697446412.8414104,0,1092.1866455078125
1697446495.8513935,4096,1033.6036376953125
1697446552.4424684,8192,1017.8666381835938
1697446612.2457027,12288,953.7760620117188
1697446674.0332084,16384,923.7408447265625
1697446761.3781557,20480,778.19873046875
1697446822.621123,24576,669.7446899414062
1697446882.3286023,28672,590.8421020507812
1697446963.2586548,32768,631.0337524414062
1697447028.7902884,36864,516.2564086914062
1697447097.3361697,40960,464.5396728515625
1697447158.8491592,45056,441.3983154296875
1697447243.0982444,49152,461.76416015625
1697447296.426371,53248,415.7458190917969
1697447355.6835809,57344,364.6168212890625
1697447408.9157693,61440,324.6418151855469
1697447460.750036,65536,312.91058349609375
1697447520.4725301,69632,262.5811462402344
1697447568.755663,73728,269.34808349609375
1697447628.2819486,77824,212.47528076171875
1697447681.2816432,81920,202.2118377685547
1697447733.4014363,86016,167.12106323242188
1697447791.5583355,90112,177.19686889648438
1697447841.0657165,94208,192.32981872558594
1697447899.9267664,98304,169.09527587890625
1697447951.5304103,102400,171.99989318847656
1697448012.9193993,106496,160.75216674804688
1697448081.5440748,110592,164.3048553466797
1697448138.1527655,114688,161.84884643554688
1697448218.4197228,118784,163.33938598632812
1697448277.8278463,122880,154.8517608642578
1697448327.147538,126976,158.02090454101562
1697448386.4587572,131072,155.89996337890625
1697448437.14287,135168,161.11468505859375
1697448491.923724,139264,142.01675415039062
1697448548.9447803,143360,163.30271911621094
1697448597.8280506,147456,178.06753540039062
1697448657.2200878,151552,161.1142578125
1697448708.2102733,155648,175.70181274414062
1697448761.2027085,159744,152.7813720703125
1697448821.2905564,163840,144.84854125976562
1697448869.9150875,167936,160.2713165283203
1697448928.2057366,172032,173.16053771972656
1697448983.08355,176128,189.57069396972656
1697449034.1357944,180224,215.17498779296875
1697449092.9683456,184320,239.11410522460938
1697449142.0612972,188416,278.79168701171875
1697449200.7444804,192512,223.2025146484375
1697449253.654677,196608,219.67710876464844
1697449306.8382826,200704,192.5780792236328
1697449367.446901,204800,217.80755615234375
1697449416.694274,208896,247.3515625
1697449475.618927,212992,269.4089660644531
1697449528.0713902,217088,285.41400146484375
1697449581.5316975,221184,299.62396240234375
1697449642.335908,225280,309.8118896484375
1697449691.7526317,229376,295.1890869140625
1697449750.16001,233472,303.2876892089844
1697449803.621516,237568,276.4429931640625
1697449854.476267,241664,285.2987365722656
1697449915.8725772,245760,252.95416259765625
1697449964.4224217,249856,259.963623046875
1697450021.8118238,253952,287.90679931640625
1697450075.9018023,258048,278.3602600097656
1697450126.6835084,262144,281.0244445800781
1697450187.9309502,266240,312.1581726074219
1697450237.1270368,270336,317.6661071777344
1697450294.37568,274432,310.53125
1697450348.9860442,278528,298.78973388671875
1697450399.9435208,282624,267.7991943359375
1697450461.7716045,286720,278.054443359375
1697450511.2280118,290816,273.4210510253906
1697450568.5850687,294912,261.6236877441406
1697450624.685022,299008,276.50604248046875
1697450675.3493416,303104,308.79034423828125
1697450736.6039429,307200,310.421142578125
1697450786.1848776,311296,282.4054260253906
1697450841.6350038,315392,331.82952880859375
1697450898.1436079,319488,299.88873291015625
1697450948.1254687,323584,332.63232421875
1697451012.0227277,327680,321.4928283691406
1697451062.6885726,331776,316.2334289550781
1697451123.5994651,335872,318.8846435546875
1697451179.7427976,339968,302.40972900390625
1697451235.4301732,344064,293.1416015625
1697451296.5684981,348160,270.3462219238281
1697451345.4990187,352256,275.1200866699219
1697451405.9149835,356352,309.9938049316406
1697451456.2114809,360448,308.0248718261719
1697451511.2221088,364544,327.0078125
1697451568.6622417,368640,277.45501708984375
1697451619.1545901,372736,311.9515380859375
1697451678.7276816,376832,296.4363708496094
1697451730.0196064,380928,318.7539367675781
1697451784.3521066,385024,309.47509765625
1697451843.739755,389120,287.3945617675781
1697451893.2044337,393216,290.3902587890625
1697451952.0944104,397312,361.7150573730469
1697452005.9723325,401408,374.4773864746094
1697452057.0994258,405504,367.7878112792969
1697452118.4608479,409600,372.18218994140625
1697452166.8282642,413696,405.8825378417969
1697452223.8551598,417792,384.90679931640625
1697452278.6551435,421888,399.5003356933594
1697452329.4032342,425984,395.696533203125
1697452391.4972188,430080,392.57684326171875
1697452439.1912348,434176,399.7403259277344
1697452495.8873968,438272,442.6891784667969
1697452549.3666024,442368,457.4480895996094
1697452600.2175794,446464,440.363037109375
1697452660.8370156,450560,452.4670715332031
1697452709.6880865,454656,383.8511657714844
1697452767.7342536,458752,371.92626953125
1697452821.4619887,462848,386.7185363769531
1697452872.6566975,466944,381.8658752441406
1697452934.0576382,471040,374.63409423828125
1697452982.753589,475136,385.48785400390625
1697453039.9797156,479232,377.51361083984375
1697453093.726523,483328,403.59466552734375
1697453144.230437,487424,396.2865905761719
1697453205.5644774,491520,389.19281005859375
1697453253.767859,495616,387.9511413574219
1697453311.8515682,499712,372.51251220703125
1697453365.45123,503808,404.13494873046875
1697453416.1070907,507904,407.7487487792969
1697453477.4645724,512000,385.2164306640625
1697453525.8105059,516096,391.3915710449219
1697453583.0539997,520192,383.929931640625
1697453637.547857,524288,379.6705627441406
1697453687.9196932,528384,384.55352783203125
1697453750.0719237,532480,391.22418212890625
1697453798.774873,536576,359.6549377441406
1697453855.946103,540672,384.2522277832031
1697453912.2124724,544768,335.86053466796875
1697453962.5473442,548864,316.9147033691406
1697454023.6454337,552960,322.3276672363281
1697454072.7788248,557056,307.3137512207031
1697454128.1477044,561152,301.71917724609375
1697454185.3856187,565248,300.6027526855469
1697454234.7790732,569344,284.95037841796875
1697454295.1276944,573440,301.3076477050781
1697454344.8556142,577536,292.142578125
1697454399.8206398,581632,277.6760559082031
1697454457.4638305,585728,256.8936462402344
1697454513.9719048,589824,243.4097900390625
1697454584.8770473,593920,271.3797912597656
1697454643.9917343,598016,268.943603515625
1697454726.0236614,602112,284.9042053222656
1697454788.1359186,606208,292.0852966308594
1697454857.6680663,610304,280.9228515625
1697454907.9051785,614400,269.3408203125
1697454998.801816,618496,286.6388854980469
1697455060.5256097,622592,308.2756652832031
