Wall time,Step,Value
1699108936.5670128,0,-1165.1292724609375
1699108984.205004,5000,-1040.16015625
1699109033.9784203,10000,-993.9273071289062
1699109087.5590746,15000,-943.5529174804688
1699109139.624245,20000,-848.72705078125
1699109190.946118,25000,-829.073974609375
1699109247.2015123,30000,-811.6166381835938
1699109300.4865582,35000,-760.4630126953125
1699109357.8133826,40000,-767.3291625976562
1699109413.1781485,45000,-716.0529174804688
1699109468.3835943,50000,-703.86669921875
1699109524.0552793,55000,-705.7286987304688
1699109580.2797544,60000,-766.113037109375
1699109636.0606322,65000,-788.8267211914062
1699109689.4668157,70000,-818.53759765625
1699109744.2577217,75000,-758.6278686523438
1699109803.606169,80000,-683.619140625
1699109856.449234,85000,-740.6356201171875
1699109907.4130101,90000,-667.6949462890625
1699109962.2483509,95000,-562.0884399414062
1699110015.32522,100000,-570.8723754882812
1699110074.8510041,105000,-493.2427978515625
1699110133.9724116,110000,-475.760498046875
1699110193.2597306,115000,-431.9658203125
1699110252.2041223,120000,-398.16192626953125
1699110306.4483106,125000,-401.8993225097656
1699110364.9802752,130000,-354.92901611328125
1699110426.8028336,135000,-339.4721374511719
1699110486.0158324,140000,-309.6933288574219
1699110539.6214445,145000,-320.4499816894531
1699110600.8082783,150000,-289.8224182128906
1699110657.2620127,155000,-270.9714050292969
1699110710.989425,160000,-317.29254150390625
1699110767.1704354,165000,-292.0658874511719
1699110820.9442754,170000,-307.8872985839844
1699110875.7786434,175000,-267.25164794921875
1699110932.6911924,180000,-272.75689697265625
1699110984.0183413,185000,-300.0238952636719
1699111039.899651,190000,-343.8308410644531
1699111101.027438,195000,-298.4486389160156
1699111153.596135,200000,-325.0459899902344
1699111210.5768838,205000,-354.2264099121094
1699111268.7938464,210000,-351.3540954589844
1699111322.6169755,215000,-383.3633728027344
1699111381.5060182,220000,-346.5308532714844
1699111435.9598906,225000,-352.2064208984375
1699111487.7766452,230000,-351.93255615234375
1699111544.0828261,235000,-346.32928466796875
1699111605.8813057,240000,-371.2289123535156
1699111662.056754,245000,-354.13665771484375
1699111720.2537155,250000,-415.98577880859375
1699111779.1145344,255000,-402.8252258300781
1699111836.3336363,260000,-339.97503662109375
1699111895.1129005,265000,-336.5256652832031
1699111957.683279,270000,-401.9557189941406
1699112016.5854533,275000,-408.8436279296875
1699112070.0819643,280000,-411.9723205566406
1699112126.672576,285000,-434.304931640625
1699112184.575527,290000,-369.4333190917969
1699112241.8703814,295000,-407.5445251464844
1699112302.1195261,300000,-379.3798828125
1699112361.2331927,305000,-358.851806640625
1699112414.6979132,310000,-397.1346740722656
1699112471.4764702,315000,-431.64605712890625
1699112528.4154553,320000,-404.748046875
1699112584.9415934,325000,-369.8885192871094
1699112638.0577955,330000,-336.8490295410156
1699112695.3392856,335000,-340.1742858886719
1699112754.98085,340000,-364.7572937011719
1699112810.451339,345000,-354.6740417480469
1699112864.3981025,350000,-282.5335693359375
1699112917.7535179,355000,-322.1048583984375
1699112979.1915543,360000,-287.2061767578125
1699113046.5072737,365000,-284.1232604980469
1699113103.507269,370000,-248.1076202392578
1699113160.437598,375000,-270.9725036621094
1699113213.6536696,380000,-304.34674072265625
1699113270.8095577,385000,-364.12579345703125
1699113334.195723,390000,-364.1372985839844
1699113386.9481583,395000,-445.8076477050781
1699113440.7747273,400000,-408.271484375
1699113497.456332,405000,-461.896728515625
1699113550.2303035,410000,-487.7982482910156
1699113602.33582,415000,-500.9710388183594
1699113653.8773274,420000,-422.65435791015625
1699113705.3014433,425000,-346.4396057128906
1699113757.265407,430000,-329.82427978515625
1699113809.6378243,435000,-297.6193542480469
