video,user,trace,qoe_w1,qoe_w2,qoe_w3,qoe,qoe1,qoe2,qoe3
1,22,26,7.0,1.0,1.0,0.32571,0.46312,0.0,0.31041
2,27,24,1.0,7.0,1.0,-0.55759,0.47904,0.72932,0.39209
3,30,4,1.0,1.0,7.0,-0.30887,0.507,0.90642,0.34006
4,39,9,3.0,3.0,3.0,-0.01461,0.43298,0.04538,0.43142
6,44,39,7.0,1.0,1.0,0.29844,0.43828,0.01535,0.3667
8,57,29,1.0,7.0,1.0,-0.81424,0.3957,1.05952,0.30728
9,59,30,1.0,1.0,7.0,-0.27169,0.39402,0.34689,0.35605
10,1,1,3.0,3.0,3.0,-0.96647,0.44745,2.93627,0.41059
11,9,12,7.0,1.0,1.0,0.21635,0.48049,0.99162,0.42462
13,16,10,1.0,7.0,1.0,-0.63914,0.45154,0.82963,0.39645
15,20,2,1.0,1.0,7.0,-0.45808,0.45908,1.60281,0.42557
17,21,3,3.0,3.0,3.0,-0.28051,0.45118,0.76574,0.52695
18,46,25,7.0,1.0,1.0,0.19858,0.47106,1.1312,0.37904
19,48,14,1.0,7.0,1.0,-0.11486,0.50651,0.17432,0.32002
20,51,15,1.0,1.0,7.0,-0.41455,0.48761,1.47036,0.39261
22,53,0,3.0,3.0,3.0,-0.05202,0.38862,0.10623,0.43844
23,2,36,7.0,1.0,1.0,0.1088,0.45713,1.72429,0.49636
24,5,17,1.0,7.0,1.0,-1.8059,0.55714,2.34239,0.41356
1,6,8,1.0,1.0,7.0,-0.25966,0.39805,0.09319,0.3774
2,7,19,3.0,3.0,3.0,-0.0698,0.47537,0.2484,0.43637
3,12,11,7.0,1.0,1.0,0.35629,0.5203,0.00357,0.43191
4,19,35,1.0,7.0,1.0,-0.01393,0.42858,0.02768,0.36021
6,25,21,1.0,1.0,7.0,-0.21867,0.42395,0.0,0.34171
8,26,5,3.0,3.0,3.0,-0.06843,0.45916,0.24911,0.41535
9,28,26,7.0,1.0,1.0,0.34741,0.49835,0.0,0.36178
10,33,24,1.0,7.0,1.0,-2.79054,0.54846,3.59757,0.4803
11,36,4,1.0,1.0,7.0,-0.55203,0.46399,2.80456,0.37538
13,38,9,3.0,3.0,3.0,-0.48745,0.46048,1.56804,0.35479
15,47,39,7.0,1.0,1.0,0.04342,0.47131,2.47348,0.43492
17,8,29,1.0,7.0,1.0,-0.96113,0.38348,1.23721,0.37323
18,15,30,1.0,1.0,7.0,-0.45726,0.48842,1.22679,0.48243
19,18,1,3.0,3.0,3.0,-0.13211,0.57026,0.60389,0.36269
20,29,12,7.0,1.0,1.0,0.03356,0.42196,2.24841,0.40325
22,31,10,1.0,7.0,1.0,0.00213,0.48039,0.0,0.46119
23,34,2,1.0,1.0,7.0,-0.4658,0.58655,2.2023,0.36807
24,35,3,3.0,3.0,3.0,-0.50725,0.40848,1.51185,0.41839
1,41,25,7.0,1.0,1.0,0.34053,0.48612,0.0,0.33806
2,45,14,1.0,7.0,1.0,-0.3855,0.43191,0.48786,0.48637
3,49,15,1.0,1.0,7.0,-0.24764,0.56334,0.0,0.39888
4,50,0,3.0,3.0,3.0,0.03334,0.55323,0.0,0.45321
6,54,36,7.0,1.0,1.0,0.25905,0.43091,0.2896,0.39531
8,4,17,1.0,7.0,1.0,-0.49856,0.44236,0.64113,0.44147
9,17,8,1.0,1.0,7.0,-0.33751,0.36234,0.59515,0.40069
10,37,19,3.0,3.0,3.0,-0.37879,0.44961,1.17503,0.41095
11,43,11,7.0,1.0,1.0,0.23855,0.48054,0.77067,0.44619
13,22,35,1.0,7.0,1.0,-0.14875,0.57012,0.20898,0.446
15,27,21,1.0,1.0,7.0,-0.42542,0.53313,0.91936,0.4918
17,30,5,3.0,3.0,3.0,-0.09275,0.52719,0.31511,0.49033
18,39,26,7.0,1.0,1.0,0.31721,0.53663,0.44382,0.45775
19,44,24,1.0,7.0,1.0,-0.29813,0.47658,0.39131,0.42058
20,57,4,1.0,1.0,7.0,-0.66774,0.52773,4.37465,0.30896
22,59,9,3.0,3.0,3.0,-0.16966,0.41689,0.52953,0.39635
23,1,39,7.0,1.0,1.0,-7e-05,0.47208,2.84435,0.46089
24,9,29,1.0,7.0,1.0,-2.56785,0.47518,3.30628,0.44181
1,16,30,1.0,1.0,7.0,-0.30667,0.50845,0.0,0.46692
2,20,1,3.0,3.0,3.0,-0.27008,0.45315,0.83649,0.4269
3,21,12,7.0,1.0,1.0,0.28103,0.47969,0.39917,0.42939
4,46,10,1.0,7.0,1.0,0.01032,0.47582,0.0,0.38297
6,48,2,1.0,1.0,7.0,-0.26911,0.57834,0.20472,0.39938
8,51,3,3.0,3.0,3.0,-0.20636,0.555,0.8009,0.37317
9,53,25,7.0,1.0,1.0,0.34234,0.53212,0.32979,0.31395
10,2,14,1.0,7.0,1.0,-1.75014,0.43231,2.25888,0.37138
11,5,15,1.0,1.0,7.0,-0.28459,0.4743,0.39961,0.37657
13,6,0,3.0,3.0,3.0,-0.38838,0.46614,1.22141,0.40987
15,7,36,7.0,1.0,1.0,0.192,0.56007,1.74409,0.44837
17,12,17,1.0,7.0,1.0,-0.49603,0.46167,0.64603,0.4037
18,19,8,1.0,1.0,7.0,-0.44582,0.41198,1.40958,0.43069
19,25,19,3.0,3.0,3.0,0.029,0.46724,0.0,0.38025
20,26,11,7.0,1.0,1.0,0.15734,0.46769,1.42901,0.4288
22,28,35,1.0,7.0,1.0,-0.01784,0.45426,0.02978,0.40641
23,33,21,1.0,1.0,7.0,-0.30924,0.411,0.89899,0.32788
24,36,5,3.0,3.0,3.0,-0.31122,0.51451,1.07356,0.3746
1,22,26,7.0,1.0,1.0,0.35357,0.50644,0.0,0.36298
2,27,24,1.0,7.0,1.0,-0.7262,0.55722,0.95691,0.39467
3,30,4,1.0,1.0,7.0,-0.38094,0.52773,0.91702,0.43417
4,39,9,3.0,3.0,3.0,0.00426,0.44304,0.04568,0.38459
6,44,39,7.0,1.0,1.0,0.35212,0.50971,0.0,0.39891
8,57,29,1.0,7.0,1.0,-0.82331,0.41624,1.07101,0.32898
9,59,30,1.0,1.0,7.0,-0.35554,0.44837,0.34275,0.47221
10,1,1,3.0,3.0,3.0,-1.01131,0.54986,3.11901,0.46479
11,9,12,7.0,1.0,1.0,0.23293,0.50808,1.01807,0.44206
13,16,10,1.0,7.0,1.0,-0.83173,0.60112,1.09578,0.41625
15,20,2,1.0,1.0,7.0,-0.45006,0.46426,1.78981,0.38929
17,21,3,3.0,3.0,3.0,-0.27352,0.51415,0.84694,0.48777
18,46,25,7.0,1.0,1.0,0.21273,0.47911,1.10378,0.33536
19,48,14,1.0,7.0,1.0,-0.10171,0.52555,0.14252,0.44334
20,51,15,1.0,1.0,7.0,-0.41114,0.48111,1.3762,0.40074
22,53,0,3.0,3.0,3.0,-0.03602,0.42946,0.11101,0.42652
23,2,36,7.0,1.0,1.0,0.12657,0.43658,1.41756,0.49937
24,5,17,1.0,7.0,1.0,-1.50021,0.47962,1.93587,0.43045
1,6,8,1.0,1.0,7.0,-0.33752,0.4244,0.09055,0.48164
2,7,19,3.0,3.0,3.0,-0.05117,0.5293,0.25568,0.42714
3,12,11,7.0,1.0,1.0,0.28149,0.42032,0.0,0.40879
