video,user,trace,qoe_w1,qoe_w2,qoe_w3,qoe,qoe1,qoe2,qoe3
21,3,31,7.0,1.0,1.0,0.29198,0.49752,0.40594,0.44885
21,3,31,1.0,7.0,1.0,-0.31881,0.47235,0.42103,0.39445
21,3,31,1.0,1.0,7.0,-0.35073,0.4935,0.47218,0.45399
21,3,31,3.0,3.0,3.0,-0.14042,0.5113,0.41978,0.51278
21,3,33,7.0,1.0,1.0,0.17528,0.59737,2.10738,0.49668
21,3,33,1.0,7.0,1.0,-1.33478,0.50365,1.71739,0.4949
21,3,33,1.0,1.0,7.0,-0.51129,0.53161,1.99586,0.44819
21,3,33,3.0,3.0,3.0,-0.60713,0.43985,1.81438,0.44685
21,3,16,7.0,1.0,1.0,0.23378,0.44298,0.54547,0.45139
21,3,16,1.0,7.0,1.0,-0.38578,0.44949,0.4973,0.44046
21,3,16,1.0,1.0,7.0,-0.37815,0.47508,0.5317,0.47811
21,3,16,3.0,3.0,3.0,-0.21577,0.49278,0.61801,0.52208
21,3,23,7.0,1.0,1.0,0.28575,0.4374,0.07155,0.41855
21,3,23,1.0,7.0,1.0,-0.0548,0.45118,0.07685,0.4064
21,3,23,1.0,1.0,7.0,-0.29048,0.50974,0.08358,0.43435
21,3,23,3.0,3.0,3.0,-0.01876,0.4878,0.11476,0.42931
21,3,13,7.0,1.0,1.0,0.31464,0.48321,0.11916,0.43159
21,3,13,1.0,7.0,1.0,-0.07186,0.45412,0.09634,0.42647
21,3,13,1.0,1.0,7.0,-0.33391,0.50972,0.13382,0.48301
21,3,13,3.0,3.0,3.0,-0.01163,0.50112,0.06896,0.46705
21,3,28,7.0,1.0,1.0,0.28546,0.49938,0.56333,0.36315
21,3,28,1.0,7.0,1.0,-0.40019,0.47345,0.52829,0.37715
21,3,28,1.0,1.0,7.0,-0.38653,0.5144,0.63801,0.47931
21,3,28,3.0,3.0,3.0,-0.14416,0.40057,0.48693,0.34611
21,3,27,7.0,1.0,1.0,0.31084,0.48417,0.21525,0.37635
21,3,27,1.0,7.0,1.0,-0.19528,0.44098,0.25243,0.43148
21,3,27,1.0,1.0,7.0,-0.27215,0.43711,0.24389,0.37751
21,3,27,3.0,3.0,3.0,-0.0322,0.55606,0.25857,0.39409
21,3,34,7.0,1.0,1.0,0.37573,0.55166,0.02453,0.45556
21,3,34,1.0,7.0,1.0,0.01117,0.49138,0.0,0.39081
21,3,34,1.0,1.0,7.0,-0.22613,0.42986,0.0,0.35214
21,3,34,3.0,3.0,3.0,0.03118,0.45977,0.0,0.36621
21,10,31,7.0,1.0,1.0,0.23612,0.44694,0.47472,0.52878
21,10,31,1.0,7.0,1.0,-0.33692,0.3975,0.42742,0.43791
21,10,31,1.0,1.0,7.0,-0.39426,0.47376,0.44916,0.51042
21,10,31,3.0,3.0,3.0,-0.15311,0.44421,0.42323,0.48033
21,10,33,7.0,1.0,1.0,0.06995,0.47504,2.18968,0.506
21,10,33,1.0,7.0,1.0,-1.46177,0.47249,1.88508,0.43288
21,10,33,1.0,1.0,7.0,-0.56757,0.42343,2.23403,0.47107
21,10,33,3.0,3.0,3.0,-0.79732,0.44642,2.37635,0.46204
21,10,16,7.0,1.0,1.0,0.24946,0.45797,0.53402,0.42664
21,10,16,1.0,7.0,1.0,-0.49525,0.46695,0.63309,0.49255
21,10,16,1.0,1.0,7.0,-0.34997,0.39909,0.55515,0.42767
21,10,16,3.0,3.0,3.0,-0.20533,0.47934,0.60301,0.49234
21,10,23,7.0,1.0,1.0,0.24401,0.39491,0.10046,0.46776
21,10,23,1.0,7.0,1.0,-0.07028,0.36525,0.0827,0.41888
21,10,23,1.0,1.0,7.0,-0.38092,0.47664,0.07806,0.5467
21,10,23,3.0,3.0,3.0,-0.02098,0.47892,0.11667,0.42519
21,10,13,7.0,1.0,1.0,0.25282,0.40368,0.11244,0.4379
21,10,13,1.0,7.0,1.0,-0.09542,0.46485,0.12084,0.47777
21,10,13,1.0,1.0,7.0,-0.31881,0.40866,0.14317,0.44783
21,10,13,3.0,3.0,3.0,-0.05885,0.46469,0.13283,0.50843
21,10,28,7.0,1.0,1.0,0.21423,0.42172,0.56644,0.45756
21,10,28,1.0,7.0,1.0,-0.44808,0.46682,0.58472,0.40649
21,10,28,1.0,1.0,7.0,-0.32765,0.36757,0.51597,0.40006
21,10,28,3.0,3.0,3.0,-0.17707,0.43527,0.55336,0.41312
21,10,27,7.0,1.0,1.0,0.25279,0.41925,0.25543,0.40421
21,10,27,1.0,7.0,1.0,-0.22586,0.44353,0.29007,0.44579
21,10,27,1.0,1.0,7.0,-0.34868,0.38209,0.21218,0.47258
21,10,27,3.0,3.0,3.0,-0.09115,0.40644,0.22911,0.45077
21,10,34,7.0,1.0,1.0,0.21929,0.3377,0.0,0.39033
21,10,34,1.0,7.0,1.0,-0.00903,0.41325,0.0,0.49452
21,10,34,1.0,1.0,7.0,-0.29974,0.46014,0.0,0.45111
21,10,34,3.0,3.0,3.0,0.0092,0.49161,0.01655,0.44745
21,14,31,7.0,1.0,1.0,0.32943,0.54998,0.48956,0.39541
21,14,31,1.0,7.0,1.0,-0.3664,0.55954,0.47887,0.50504
21,14,31,1.0,1.0,7.0,-0.34962,0.47317,0.41494,0.45782
21,14,31,3.0,3.0,3.0,-0.11213,0.55194,0.45109,0.43724
21,14,33,7.0,1.0,1.0,0.11142,0.5118,2.15942,0.42041
21,14,33,1.0,7.0,1.0,-1.77785,0.58495,2.30669,0.4388
21,14,33,1.0,1.0,7.0,-0.52861,0.49788,2.2865,0.42412
21,14,33,3.0,3.0,3.0,-0.69642,0.53361,2.18446,0.43842
21,14,16,7.0,1.0,1.0,0.28128,0.50521,0.58826,0.41666
21,14,16,1.0,7.0,1.0,-0.41682,0.41873,0.54618,0.34684
21,14,16,1.0,1.0,7.0,-0.32731,0.54158,0.6507,0.40524
21,14,16,3.0,3.0,3.0,-0.18066,0.54432,0.60098,0.48533
21,14,23,7.0,1.0,1.0,0.30688,0.46768,0.07342,0.43842
21,14,23,1.0,7.0,1.0,-0.06007,0.45069,0.08137,0.42171
21,14,23,1.0,1.0,7.0,-0.22577,0.34448,0.06544,0.33014
21,14,23,3.0,3.0,3.0,-0.02661,0.47165,0.06689,0.4846
21,14,13,7.0,1.0,1.0,0.33836,0.52342,0.15051,0.4682
21,14,13,1.0,7.0,1.0,-0.10062,0.50117,0.15044,0.35365
21,14,13,1.0,1.0,7.0,-0.31705,0.54008,0.14191,0.46452
21,14,13,3.0,3.0,3.0,-0.04681,0.47206,0.10186,0.51062
21,14,28,7.0,1.0,1.0,0.27924,0.5183,0.58013,0.53479
21,14,28,1.0,7.0,1.0,-0.4559,0.47497,0.58474,0.48488
21,14,28,1.0,1.0,7.0,-0.32233,0.54573,0.63894,0.40111
21,14,28,3.0,3.0,3.0,-0.15703,0.57312,0.62442,0.41978
21,14,27,7.0,1.0,1.0,0.29936,0.47437,0.25944,0.36688
21,14,27,1.0,7.0,1.0,-0.15629,0.47989,0.20951,0.42
21,14,27,1.0,1.0,7.0,-0.32271,0.54392,0.29996,0.44976
21,14,27,3.0,3.0,3.0,-0.04689,0.59514,0.2879,0.44791
21,14,34,7.0,1.0,1.0,0.34029,0.49912,0.0,0.43126
21,14,34,1.0,7.0,1.0,0.01518,0.53032,0.0,0.39367
21,14,34,1.0,1.0,7.0,-0.26088,0.48557,0.0,0.40478
21,14,34,3.0,3.0,3.0,0.01809,0.44293,0.0,0.38866
21,24,31,7.0,1.0,1.0,0.30107,0.51512,0.38171,0.51445
21,24,31,1.0,7.0,1.0,-0.13935,0.45683,0.17686,0.47293
21,24,31,1.0,1.0,7.0,-0.39677,0.50066,0.39559,0.52514
21,24,31,3.0,3.0,3.0,-0.11126,0.40647,0.28236,0.45788
21,24,33,7.0,1.0,1.0,0.09941,0.50509,2.1882,0.45274
21,24,33,1.0,7.0,1.0,-1.21758,0.42916,1.56314,0.44541
21,24,33,1.0,1.0,7.0,-0.53693,0.46659,2.07386,0.46072
21,24,33,3.0,3.0,3.0,-0.48587,0.3641,1.40447,0.41724
21,24,16,7.0,1.0,1.0,0.25434,0.47234,0.54248,0.47487
21,24,16,1.0,7.0,1.0,-0.37559,0.41566,0.48423,0.40637
21,24,16,1.0,1.0,7.0,-0.39911,0.50817,0.56106,0.50559
21,24,16,3.0,3.0,3.0,-0.16248,0.37717,0.48762,0.37698
21,24,23,7.0,1.0,1.0,0.25672,0.40197,0.08601,0.41729
21,24,23,1.0,7.0,1.0,-0.07027,0.42788,0.08931,0.43515
21,24,23,1.0,1.0,7.0,-0.31715,0.44462,0.08145,0.45964
21,24,23,3.0,3.0,3.0,-0.01817,0.50732,0.07703,0.4848
